"Date","Team","Opp","GS","W","L","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","SO","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP"
"<a href=""wins.aspx?date=2015-05-26&team=Dodgers&dh=0"">2015-05-26</a>","LAD","ATL","1","1","0","0","0","0","7.0","25","4","0","0","0","0","10","12.86","0.00","0.00",".267","100.0 %","30.8 %","0.0 %","0.00","0.28","1.12"
"<a href=""wins.aspx?date=2015-05-21&team=Dodgers&dh=0"">2015-05-21</a>","LAD","@SFG","1","0","1","0","0","0","7.1","31","7","4","4","1","2","7","8.59","2.45","1.23",".300","69.8 %","47.6 %","33.3 %","4.91","4.23","3.06"
"<a href=""wins.aspx?date=2015-05-15&team=Dodgers&dh=0"">2015-05-15</a>","LAD","COL","1","1","0","0","0","0","6.2","27","4","3","3","0","3","10","13.50","4.05","0.00",".286","57.1 %","53.8 %","0.0 %","4.05","1.48","1.93"
"<a href=""wins.aspx?date=2015-05-10&team=Dodgers&dh=0"">2015-05-10</a>","LAD","@COL","1","0","0","0","0","0","5.2","29","8","5","5","0","4","5","7.94","6.35","0.00",".400","58.3 %","57.9 %","0.0 %","7.94","3.49","4.27"
"<a href=""wins.aspx?date=2015-05-04&team=Dodgers&dh=0"">2015-05-04</a>","LAD","@MIL","1","0","0","0","0","0","7.1","27","5","3","3","1","0","8","9.82","0.00","1.23",".222","55.6 %","63.2 %","25.0 %","3.68","2.73","1.76"
"<a href=""wins.aspx?date=2015-04-28&team=Dodgers&dh=0"">2015-04-28</a>","LAD","SFG","1","0","1","0","0","0","7.0","27","7","2","2","1","0","8","10.29","0.00","1.29",".333","89.3 %","57.9 %","25.0 %","2.57","2.71","1.69"
"<a href=""wins.aspx?date=2015-04-22&team=Dodgers&dh=0"">2015-04-22</a>","LAD","@SFG","1","0","0","0","0","0","6.0","21","3","2","2","0","1","9","13.50","1.50","0.00",".273","50.0 %","40.0 %","0.0 %","3.00","0.63","1.13"
"<a href=""wins.aspx?date=2015-04-17&team=Dodgers&dh=0"">2015-04-17</a>","LAD","COL","1","1","0","0","0","0","6.0","25","6","3","1","2","1","12","18.00","1.50","3.00",".400","95.2 %","41.7 %","66.7 %","1.50","3.97","0.37"
"<a href=""wins.aspx?date=2015-04-11&team=Dodgers&dh=0"">2015-04-11</a>","LAD","@ARI","1","0","1","0","0","0","6.1","30","10","6","5","1","3","5","7.11","4.26","1.42",".429","60.3 %","52.4 %","20.0 %","7.11","5.03","4.14"
"<a href=""wins.aspx?date=2015-04-06&team=Dodgers&dh=0"">2015-04-06</a>","LAD","SDP","1","0","0","0","0","0","6.0","26","6","3","3","0","2","9","13.50","3.00","0.00",".429","66.7 %","42.9 %","0.0 %","4.50","1.63","2.62"
