"Date","Team","Opp","GS","W","L","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","SO","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP"
"<a href=""wins.aspx?date=2015-05-29&team=Angels&dh=0"">2015-05-29</a>","LAA","DET","1","1","0","0","0","0","7.1","27","3","0","0","0","3","7","8.59","3.68","0.00",".176","100.0 %","25.0 %","0.0 %","0.00","2.45","4.46"
"<a href=""wins.aspx?date=2015-05-24&team=Angels&dh=0"">2015-05-24</a>","LAA","@BOS","1","0","1","0","0","0","6.2","27","7","3","3","1","1","6","8.10","1.35","1.35",".316","75.8 %","31.6 %","10.0 %","4.05","3.73","4.00"
"<a href=""wins.aspx?date=2015-05-19&team=Angels&dh=0"">2015-05-19</a>","LAA","@TOR","1","1","0","0","0","0","7.0","28","4","2","1","1","3","5","6.43","3.86","1.29",".158","89.3 %","26.3 %","9.1 %","1.29","4.85","5.31"
"<a href=""wins.aspx?date=2015-05-13&team=Angels&dh=0"">2015-05-13</a>","LAA","COL","1","0","0","0","0","0","6.0","25","7","1","1","0","0","8","12.00","0.00","0.00",".412","85.7 %","17.6 %","0.0 %","1.50","0.47","2.44"
"<a href=""wins.aspx?date=2015-05-07&team=Angels&dh=0"">2015-05-07</a>","LAA","HOU","1","0","0","0","0","0","6.1","24","1","0","0","0","4","5","7.11","5.68","0.00",".067","100.0 %","60.0 %","0.0 %","0.00","3.45","4.62"
"<a href=""wins.aspx?date=2015-05-02&team=Angels&dh=0"">2015-05-02</a>","LAA","@SFG","1","0","1","0","0","0","5.0","26","9","4","4","1","2","4","7.20","3.60","1.80",".421","72.9 %","42.1 %","16.7 %","7.20","5.33","4.51"
"<a href=""wins.aspx?date=2015-04-26&team=Angels&dh=0"">2015-04-26</a>","LAA","TEX","1","0","0","0","0","0","5.1","27","4","2","1","0","6","5","8.44","10.13","0.00",".267","81.8 %","33.3 %","0.0 %","1.69","5.20","7.69"
"<a href=""wins.aspx?date=2015-04-21&team=Angels&dh=0"">2015-04-21</a>","LAA","OAK","1","1","0","0","0","0","6.0","24","3","1","1","1","3","8","12.00","4.50","1.50",".167","100.0 %","30.8 %","20.0 %","1.50","4.13","3.20"
"<a href=""wins.aspx?date=2015-04-15&team=Angels&dh=0"">2015-04-15</a>","LAA","@TEX","1","1","0","0","0","0","7.0","27","4","1","1","1","2","5","6.43","2.57","1.29",".158","100.0 %","20.0 %","8.3 %","1.29","4.42","5.09"
"<a href=""wins.aspx?date=2015-04-10&team=Angels&dh=0"">2015-04-10</a>","LAA","KCR","1","0","1","0","0","0","5.1","24","6","3","3","1","1","4","6.75","1.69","1.69",".294","75.8 %","22.2 %","12.5 %","5.06","5.20","4.97"
