"Date","Team","Opp","GS","W","L","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","SO","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP"
"<a href=""wins.aspx?date=2015-05-26&team=Tigers&dh=0"">2015-05-26</a>","DET","@OAK","1","1","0","0","0","0","7.0","29","5","0","0","0","1","3","3.86","1.29","0.00",".208","100.0 %","26.1 %","0.0 %","0.00","3.13","5.87"
"<a href=""wins.aspx?date=2015-05-21&team=Tigers&dh=0"">2015-05-21</a>","DET","HOU","1","0","0","0","0","0","6.2","26","5","3","2","0","1","12","16.20","1.35","0.00",".385","50.0 %","23.1 %","0.0 %","2.70","-0.02","1.53"
"<a href=""wins.aspx?date=2015-05-16&team=Tigers&dh=0"">2015-05-16</a>","DET","@STL","1","0","0","0","0","0","6.2","29","7","3","3","3","2","9","12.15","2.70","4.05",".267","100.0 %","44.4 %","42.9 %","4.05","7.18","2.88"
"<a href=""wins.aspx?date=2015-05-08&team=Tigers&dh=0"">2015-05-08</a>","DET","KCR","1","0","0","0","0","0","6.1","32","13","5","4","1","0","1","1.42","0.00","1.42",".400","69.0 %","27.6 %","9.1 %","5.68","4.87","5.38"
"<a href=""wins.aspx?date=2015-05-02&team=Tigers&dh=0"">2015-05-02</a>","DET","@KCR","1","1","0","0","0","0","9.0","31","5","1","1","1","0","3","3.00","0.00","1.00",".148","100.0 %","42.9 %","9.1 %","1.00","3.91","4.27"
"<a href=""wins.aspx?date=2015-04-27&team=Tigers&dh=0"">2015-04-27</a>","DET","@MIN","1","1","0","0","0","0","6.1","27","6","3","3","0","2","7","9.95","2.84","0.00",".333","62.5 %","61.1 %","0.0 %","4.26","1.87","2.57"
"<a href=""wins.aspx?date=2015-04-22&team=Tigers&dh=0"">2015-04-22</a>","DET","NYY","1","0","1","0","0","0","2.1","21","10","8","8","0","3","2","7.71","11.57","0.00",".667","42.9 %","0.0 %","0.0 %","30.86","6.56","12.25"
"<a href=""wins.aspx?date=2015-04-17&team=Tigers&dh=0"">2015-04-17</a>","DET","CHW","1","0","0","0","0","0","8.0","29","4","1","1","1","2","9","10.13","2.25","1.13",".176","100.0 %","62.5 %","20.0 %","1.13","3.26","2.56"
"<a href=""wins.aspx?date=2015-04-11&team=Tigers&dh=0"">2015-04-11</a>","DET","@CLE","1","0","0","0","0","0","5.2","25","4","3","0","0","3","6","9.53","4.76","0.00",".250","57.1 %","25.0 %","0.0 %","0.00","2.60","4.43"
"<a href=""wins.aspx?date=2015-04-06&team=Tigers&dh=0"">2015-04-06</a>","DET","MIN","1","1","0","0","0","0","8.2","30","5","0","0","0","0","5","5.19","0.00","0.00",".200","100.0 %","40.0 %","0.0 %","0.00","1.98","3.51"
